DateTime,사용자,세션,신규방문자,페이지뷰
2018-09-09,281,266,73,1826
2018-09-10,264,247,51,2092
2018-09-11,329,310,58,1998
2018-09-12,300,287,45,2595
2018-09-13,378,344,50,3845
2018-09-14,343,317,57,3283
2018-09-15,210,202,40,1384
2018-09-16,202,196,30,1472
2018-09-17,331,302,69,3088
2018-09-18,333,313,72,2667
2018-09-19,241,220,37,1592
2018-09-20,292,283,88,1495
2018-09-21,208,197,51,1527
2018-09-22,194,184,65,955
2018-09-23,161,156,36,1042
2018-09-24,121,107,19,666
2018-09-25,112,111,15,524
2018-09-26,161,155,22,1046
2018-09-27,177,168,43,983
2018-09-28,123,118,33,654
2018-09-29,99,95,25,378
2018-09-30,121,117,60,431
2018-10-01,111,110,35,409
2018-10-02,102,95,27,468
2018-10-03,87,84,32,384
2018-10-04,84,78,27,474
2018-10-05,123,117,38,839
2018-10-06,78,75,22,341
2018-10-07,100,97,52,481
2018-10-08,69,68,24,245
2018-10-09,54,54,23,215
2018-10-10,91,85,29,550
2018-10-11,78,74,21,481
2018-10-12,102,99,34,470
2018-10-13,106,102,23,677
2018-10-14,170,163,24,1021
2018-10-15,229,227,55,1427
2018-10-16,189,183,69,1813
2018-10-17,623,618,369,3896
2018-10-18,258,257,116,1394
2018-10-19,208,207,80,1198
2018-10-20,168,166,72,792
2018-10-21,162,164,54,1347
2018-10-22,182,195,65,1255
2018-10-23,210,230,95,1275
2018-10-24,163,166,63,767
2018-10-25,138,146,37,736
2018-10-26,143,152,34,811
2018-10-27,72,71,18,335
2018-10-28,88,88,19,538
2018-10-29,127,133,25,1304
2018-10-30,147,150,36,1130
2018-10-31,161,158,27,1126
2018-11-01,112,118,22,748
2018-11-02,119,124,19,867
2018-11-03,69,71,17,352
2018-11-04,94,97,11,730
2018-11-05,125,121,25,1116
2018-11-06,152,151,35,1427
2018-11-07,118,113,29,797
2018-11-08,133,133,47,750
2018-11-09,132,131,39,934
2018-11-10,132,127,60,981
2018-11-11,142,136,56,1445
2018-11-12,369,386,197,3402
2018-11-13,415,432,179,3226
2018-11-14,399,417,196,2475
2018-11-15,279,288,120,1821
2018-11-16,307,317,162,1798
2018-11-17,354,360,204,2378
2018-11-18,174,175,59,1663
2018-11-19,301,308,112,2630
2018-11-20,331,336,156,1968
2018-11-21,225,231,62,1986
2018-11-22,280,278,107,2553
2018-11-23,221,226,49,2019
2018-11-24,149,153,41,1372
2018-11-25,166,172,50,1169
2018-11-26,275,279,86,2139
2018-11-27,326,323,123,2668
2018-11-28,335,336,135,2498
2018-11-29,247,251,67,1770
2018-11-30,186,192,56,1465
2018-12-01,131,127,34,1093
2018-12-02,151,143,44,1081
2018-12-03,258,269,76,2536
2018-12-04,311,303,91,2765
2018-12-05,264,260,64,2881
2018-12-06,215,213,47,1995
2018-12-07,223,223,47,2281
2018-12-08,192,191,40,1565
2018-12-09,162,157,39,1553
2018-12-10,286,274,56,2729
2018-12-11,249,247,51,1894
2018-12-12,235,237,52,1967
2018-12-13,249,233,60,1928
2018-12-14,257,241,85,1878
2018-12-15,146,147,31,1048
2018-12-16,186,181,45,1644
2018-12-17,286,281,64,2803
2018-12-18,240,245,49,2088
2018-12-19,252,251,74,2493
2018-12-20,232,233,62,1997
2018-12-21,248,249,51,2343
2018-12-22,229,236,97,1694
2018-12-23,322,319,134,2188
2018-12-24,294,299,101,2811
2018-12-25,197,183,53,5704
2018-12-26,346,344,104,5438
2018-12-27,296,315,108,2291
2018-12-28,269,262,85,2183
2018-12-29,203,204,59,1429
2018-12-30,176,170,32,1437
2018-12-31,216,219,42,1881
2019-01-01,124,122,21,736
2019-01-02,278,287,79,2550
2019-01-03,490,512,269,3961
2019-01-04,418,420,216,3218
2019-01-05,190,196,64,1960
2019-01-06,167,174,45,1504
2019-01-07,299,301,81,2311
2019-01-08,322,326,111,2512
2019-01-09,295,295,82,2380
2019-01-10,371,359,92,3624
2019-01-11,274,268,65,2217
2019-01-12,179,176,43,1563
2019-01-13,195,197,46,1431
2019-01-14,282,287,71,2008
2019-01-15,316,303,81,2719
2019-01-16,258,261,75,1853
2019-01-17,267,277,59,2141
2019-01-18,257,261,66,1841
2019-01-19,179,178,28,1472
2019-01-20,190,185,26,1474
2019-01-21,301,307,65,2093
2019-01-22,280,282,66,1788
2019-01-23,227,211,35,1912
2019-01-24,256,252,63,2096
2019-01-25,455,450,198,3187
2019-01-26,214,216,48,1389
2019-01-27,256,244,53,2185
2019-01-28,515,509,141,3863
2019-01-29,461,455,137,3647
2019-01-30,498,484,94,4423
2019-01-31,560,532,85,5415
2019-02-01,271,273,68,1695
2019-02-02,237,240,100,1262
2019-02-03,116,109,32,1180
2019-02-04,120,117,30,788
2019-02-05,96,92,24,469
2019-02-06,169,164,54,2499
2019-02-07,184,175,40,1982
2019-02-08,911,991,502,5733
2019-02-09,585,624,387,2982
2019-02-10,751,817,533,3919
2019-02-11,630,709,377,4057
2019-02-12,333,383,130,2454
2019-02-13,343,364,145,1992
2019-02-14,339,379,131,2516
2019-02-15,483,546,247,3828
2019-02-16,261,273,97,1932
2019-02-17,248,241,63,1687
2019-02-18,323,334,95,2862
2019-02-19,241,258,74,1590
2019-02-20,259,259,82,1818
2019-02-21,209,206,61,1407
2019-02-22,193,193,65,2034
2019-02-23,163,160,57,1052
2019-02-24,123,124,35,975
2019-02-25,226,221,62,1925
2019-02-26,239,242,70,1710
2019-02-27,202,201,51,1408
2019-02-28,183,177,61,909
2019-03-01,138,141,39,882
2019-03-02,105,117,31,679
2019-03-03,116,111,31,2032
2019-03-04,252,253,73,2153
2019-03-05,202,208,74,1254
2019-03-06,358,375,180,1809
2019-03-07,344,370,138,2129
2019-03-08,241,253,92,1382
2019-03-09,209,226,89,1269
2019-03-10,141,142,31,732
2019-03-11,277,278,77,1445
2019-03-12,259,265,76,1347
2019-03-13,214,208,67,1142
2019-03-14,244,250,62,1919
2019-03-15,244,235,74,2996
2019-03-16,193,203,87,939
2019-03-17,115,119,37,583
2019-03-18,252,247,84,1395
2019-03-19,321,321,131,2092
2019-03-20,266,272,78,2090
2019-03-21,265,279,93,1619
2019-03-22,176,176,62,919
2019-03-23,215,219,94,1303
2019-03-24,201,208,55,1509
2019-03-25,294,299,88,2860
2019-03-26,341,328,107,2482
2019-03-27,538,552,202,4338
2019-03-28,567,592,166,4043
2019-03-29,434,431,105,4557
2019-03-30,743,731,260,5832
2019-03-31,715,732,141,6937
2019-04-01,558,561,150,4048
2019-04-02,350,344,100,1898
2019-04-03,376,384,80,2666
2019-04-04,316,316,92,1790
2019-04-05,365,362,93,2438
2019-04-06,230,228,31,941
2019-04-07,275,270,77,1347
2019-04-08,462,456,173,2423
2019-04-09,290,288,93,1375
2019-04-10,277,280,86,1382
2019-04-11,276,282,94,1453
2019-04-12,210,210,57,1063
2019-04-13,160,162,39,729
2019-04-14,158,161,37,701
2019-04-15,234,233,70,1424
2019-04-16,196,194,60,939
2019-04-17,191,193,45,1140
2019-04-18,180,184,40,686
2019-04-19,181,180,51,1560
2019-04-20,148,144,25,1106
2019-04-21,229,236,74,1730
2019-04-22,248,245,62,1936
2019-04-23,322,324,151,2430
2019-04-24,226,228,67,1736
2019-04-25,173,174,45,1524
2019-04-26,166,163,37,1386
2019-04-27,263,323,80,3998
2019-04-28,159,167,31,2243
2019-04-29,248,260,78,3539
2019-04-30,844,906,465,8674
2019-05-01,590,632,309,7216
2019-05-02,453,482,151,5381
2019-05-03,490,519,181,6995
2019-05-04,481,496,170,6076
2019-05-05,348,347,119,4805
2019-05-06,357,368,81,5052
2019-05-07,475,485,138,5635
2019-05-08,1596,1604,820,15516
2019-05-09,1135,1147,588,10778
2019-05-10,753,759,334,7057
2019-05-11,573,588,224,5691
2019-05-12,516,526,160,5799
2019-05-13,773,787,300,7706
2019-05-14,705,732,270,7867
2019-05-15,692,708,270,7536
2019-05-16,748,760,283,7357
2019-05-17,567,565,201,6013
2019-05-18,390,399,118,4178
2019-05-19,431,441,125,4592
2019-05-20,574,574,192,6661
2019-05-21,488,504,160,5463
2019-05-22,615,635,231,6603
2019-05-23,508,505,166,5154
2019-05-24,554,553,136,7180
2019-05-25,424,418,92,5327
2019-05-26,292,289,99,2498
2019-05-27,429,431,131,5145
2019-05-28,731,764,311,6981
2019-05-29,719,758,269,8886
2019-05-30,465,484,162,5296
2019-05-31,369,390,137,4514
2019-06-01,274,284,85,2553
2019-06-02,319,327,104,3810
2019-06-03,501,522,194,5311
2019-06-04,419,439,146,3771
2019-06-05,413,410,155,4235
2019-06-06,286,300,98,2780
2019-06-07,324,341,118,3270
2019-06-08,286,291,115,2820
2019-06-09,335,344,118,3696
2019-06-10,469,472,163,5086
2019-06-11,448,455,167,3993
2019-06-12,650,663,280,4938
2019-06-13,525,537,231,4516
2019-06-14,465,465,168,4589
2019-06-15,314,324,120,3108
2019-06-16,292,291,99,2652
2019-06-17,385,391,156,3254
2019-06-18,488,517,195,4723
2019-06-19,470,467,174,4979
2019-06-20,420,413,150,4418
2019-06-21,460,457,130,5221
2019-06-22,337,340,89,3008
2019-06-23,302,298,99,2483
2019-06-24,417,427,158,4331
2019-06-25,370,374,136,3471
2019-06-26,363,377,123,3319
2019-06-27,359,354,124,3600
2019-06-28,337,341,112,3331
2019-06-29,273,255,72,3119
2019-06-30,266,260,67,2225
2019-07-01,428,442,181,3785
2019-07-02,422,438,129,4157
2019-07-03,412,432,98,4913
2019-07-04,625,632,232,4693
2019-07-05,596,600,175,5950
2019-07-06,526,540,140,5309
2019-07-07,422,453,86,5374
2019-07-08,505,545,105,6402
2019-07-09,502,514,168,6649
2019-07-10,482,518,125,7941
2019-07-11,644,658,184,11018
2019-07-12,618,617,252,9431
2019-07-13,349,365,91,5035
2019-07-14,327,348,76,4676
2019-07-15,480,497,127,7736
2019-07-16,420,453,111,6667
2019-07-17,452,463,97,7549
2019-07-18,513,523,117,8601
2019-07-19,504,508,128,9277
2019-07-20,364,391,93,4882
2019-07-21,321,329,82,4181
2019-07-22,530,536,170,9514
2019-07-23,615,610,158,10947
2019-07-24,646,669,242,8700
2019-07-25,517,527,126,7693
2019-07-26,522,515,123,8240
2019-07-27,301,316,72,4433
2019-07-28,295,302,65,4712
2019-07-29,405,445,87,6504
2019-07-30,593,632,186,8594
2019-07-31,445,453,88,6748
2019-08-01,376,379,87,5733
2019-08-02,319,338,64,3742
2019-08-03,241,252,66,2877
2019-08-04,319,336,78,4650
2019-08-05,470,486,120,6349
2019-08-06,421,445,94,6898
2019-08-07,423,433,78,7384
2019-08-08,480,479,89,8911
2019-08-09,424,431,118,6271
2019-08-10,344,379,76,5820
2019-08-11,320,338,151,3783
2019-08-12,424,474,118,7714
2019-08-13,488,524,114,9245
2019-08-14,362,371,88,6976
2019-08-15,218,225,51,3090
2019-08-16,444,459,189,6478
2019-08-17,329,338,113,3991
2019-08-18,244,248,66,3394
2019-08-19,592,610,267,6321
2019-08-20,507,523,179,5725
2019-08-21,407,429,117,5370
2019-08-22,357,373,96,5244
2019-08-23,309,327,91,4573
2019-08-24,221,232,65,2787
2019-08-25,348,366,113,4444
2019-08-26,406,416,110,6024
2019-08-27,727,741,297,8904
2019-08-28,461,464,115,6012
2019-08-29,429,434,99,6065
2019-08-30,438,433,87,8176
2019-08-31,206,216,35,3144
2019-09-01,222,235,57,3167
2019-09-02,441,471,131,7531
2019-09-03,349,370,84,6320
2019-09-04,369,394,109,5736
2019-09-05,406,435,108,5916
2019-09-06,277,294,69,3340
2019-09-07,219,226,49,3259
2019-09-08,178,187,52,1956
2019-09-09,363,391,116,5483
2019-09-10,269,275,84,3626
2019-09-11,182,187,57,2716
2019-09-12,419,417,256,2905
2019-09-13,327,341,176,2950
2019-09-14,174,177,72,1270
2019-09-15,218,235,92,2768
2019-09-16,505,517,201,7699
2019-09-17,515,541,179,7960
2019-09-18,515,527,197,6044
2019-09-19,437,482,169,5474
2019-09-20,292,297,101,4033
2019-09-21,164,171,58,1947
2019-09-22,160,159,43,1930
2019-09-23,299,307,77,3903
2019-09-24,686,750,343,9150
2019-09-25,928,1085,449,13151
2019-09-26,557,639,236,8696
2019-09-27,530,562,190,7234
2019-09-28,278,321,94,2986
2019-09-29,306,340,129,4249
2019-09-30,786,939,350,10565
2019-10-01,963,1135,360,13001
2019-10-02,722,792,217,11477
2019-10-03,452,507,137,6135
2019-10-04,720,763,254,11152
2019-10-05,622,670,273,8142
2019-10-06,505,571,181,7417
2019-10-07,889,976,289,14473
2019-10-08,765,834,218,12226
2019-10-09,457,497,109,6924
2019-10-10,686,765,184,11133
2019-10-11,591,631,133,10898
2019-10-12,483,513,192,6529
2019-10-13,342,368,88,5197
2019-10-14,713,769,185,11501
2019-10-15,719,745,212,9165
2019-10-16,596,589,141,10357
2019-10-17,531,559,104,7729
2019-10-18,519,538,123,8141
2019-10-19,284,289,63,4017
2019-10-20,327,345,64,5431
2019-10-21,572,604,120,8657
2019-10-22,769,797,273,11471
2019-10-23,682,704,207,11283
2019-10-24,520,552,116,8650
2019-10-25,582,606,131,10676
2019-10-26,438,464,73,8029
2019-10-27,529,559,89,10772
2019-10-28,616,629,148,12957
2019-10-29,467,511,155,7387
2019-10-30,343,381,95,4961
2019-10-31,448,470,137,6198
2019-11-01,1442,1690,741,16463
2019-11-02,440,479,184,4276
2019-11-03,361,382,155,4335
2019-11-04,724,760,330,8480
2019-11-05,606,612,226,7799
2019-11-06,996,1015,445,8445
2019-11-07,674,709,289,7974
2019-11-08,438,442,159,5466
2019-11-09,270,282,92,2824
2019-11-10,340,349,110,4237
2019-11-11,1495,1531,650,19148
2019-11-12,1862,1869,789,24938
2019-11-13,1403,1414,495,20456
2019-11-14,1192,1212,386,18194
2019-11-15,1089,1099,349,16024
2019-11-16,756,761,217,11399
2019-11-17,790,832,153,12645
2019-11-18,1217,1267,329,17315
2019-11-19,1282,1312,359,20903
2019-11-20,1546,1603,479,21410
2019-11-21,1662,1759,454,26755
2019-11-22,1449,1525,394,21633
2019-11-23,1134,1162,273,17591
2019-11-24,1083,1130,212,16714
2019-11-25,1562,1645,397,24675
2019-11-26,1508,1569,403,24132
2019-11-27,1354,1364,350,20515
2019-11-28,1349,1379,310,19957
2019-11-29,1123,1135,258,17527
2019-11-30,1182,1170,333,14058
2019-12-01,991,1004,247,13132
2019-12-02,1826,1824,488,28227
2019-12-03,1546,1564,320,23180
2019-12-04,1516,1541,322,23575
2019-12-05,1406,1401,265,20927
2019-12-06,2194,2249,675,29666
2019-12-07,1199,1225,326,20814
2019-12-08,760,767,184,10792
2019-12-09,1395,1436,389,18455
2019-12-10,1189,1216,304,15722
2019-12-11,1048,1060,256,13618
2019-12-12,1034,1049,287,12619
2019-12-13,845,865,212,11542
2019-12-14,626,640,154,7313
2019-12-15,581,591,145,7210
2019-12-16,849,869,171,12849
2019-12-17,905,931,235,12620
2019-12-18,859,925,202,10758
2019-12-19,992,1025,256,13580
2019-12-20,946,1000,240,12625
2019-12-21,1044,1098,243,14295
2019-12-22,889,942,162,12611
2019-12-23,901,955,234,13745
2019-12-24,935,996,324,11816
2019-12-25,487,515,110,6543
2019-12-26,954,1035,239,14501
2019-12-27,997,1012,246,14412
2019-12-28,677,690,173,8387
2019-12-29,935,993,308,10319
2019-12-30,1116,1154,302,14327
2019-12-31,49,49,49,106
2020-01-01,1,1,1,2
2020-01-02,1327,1447,465,18814
2020-01-03,1915,2046,628,22411
2020-01-04,1278,1316,313,15381
2020-01-05,1223,1292,255,14210
2020-01-06,1998,2145,483,24557
2020-01-07,1858,1973,354,22195
2020-01-08,1795,1905,352,20172
2020-01-09,1915,2016,441,20148
2020-01-10,2090,2210,469,22036
2020-01-11,1374,1430,243,12498
2020-01-12,1815,1865,336,20936
2020-01-13,1982,2044,402,24347
2020-01-14,2044,2110,550,23378
2020-01-15,1705,1805,386,19591
2020-01-16,2861,2970,733,36232
2020-01-17,2059,2112,398,25873
2020-01-18,1317,1347,234,13573
2020-01-19,1274,1320,213,14344
2020-01-20,2187,2259,417,27955
2020-01-21,1942,1934,290,23490
2020-01-22,1852,1871,307,19277
2020-01-23,1451,1458,236,15763
2020-01-24,980,950,117,11281
2020-01-25,762,748,100,7277
2020-01-26,833,820,73,9159
2020-01-27,996,975,110,11114
2020-01-28,1778,1761,258,18688
2020-01-29,1814,1795,318,21293
2020-01-30,2051,2026,378,21715
2020-01-31,1737,1706,307,18988
2020-02-01,1397,1407,206,16239
2020-02-02,1393,1361,158,17156
2020-02-03,1777,1788,238,22074
2020-02-04,1863,1811,277,21119
2020-02-05,1950,1917,400,19253
2020-02-06,1618,1588,216,15707
2020-02-07,1721,1706,330,18474
2020-02-08,1296,1286,234,14990
2020-02-09,1280,1254,189,14307
2020-02-10,2011,2002,339,24303
2020-02-11,1874,1854,353,20731
2020-02-12,2022,1998,316,25121
2020-02-13,1627,1606,253,24587
2020-02-14,1614,1577,274,44685
2020-02-15,1096,1044,156,34209
2020-02-16,995,962,134,30153
2020-02-17,1582,1550,204,51183
2020-02-18,1616,1541,207,46926
2020-02-19,1777,1724,313,48825
2020-02-20,1708,1688,233,49236
2020-02-21,1764,1735,295,50451
2020-02-22,1298,1242,186,39821
2020-02-23,1330,1264,201,35807
2020-02-24,1594,1517,185,45622
2020-02-25,1757,1693,259,53858
2020-02-26,1738,1709,404,51426
2020-02-27,1520,1481,277,47804
2020-02-28,1596,1555,377,47179
2020-02-29,1377,1377,326,41733
2020-03-01,2048,1912,358,102774
2020-03-02,2207,2091,340,86670
2020-03-03,2013,1933,281,71337
2020-03-04,1900,1797,278,71800
2020-03-05,1864,1756,291,68730
2020-03-06,2137,2045,508,73618
2020-03-07,1473,1336,176,56377
2020-03-08,1390,1307,164,46600
2020-03-09,1831,1685,267,61554
2020-03-10,1763,1695,280,59408
2020-03-11,1692,1586,214,55034
2020-03-12,1642,1544,203,55093
2020-03-13,1596,1502,185,48260
2020-03-14,1111,1028,138,36085
2020-03-15,1218,1156,147,38610
2020-03-16,1748,1701,271,50204
2020-03-17,1868,1787,322,61204
2020-03-18,2135,2059,504,66750
2020-03-19,1900,1809,322,57965
2020-03-20,2495,2409,659,76833
2020-03-21,1736,1656,427,58757
2020-03-22,1396,1322,278,44061
2020-03-23,2565,2514,761,77935
2020-03-24,1977,1963,517,66570
2020-03-25,1691,1663,363,54952
2020-03-26,1708,1644,348,52183
2020-03-27,1565,1460,266,49518
2020-03-28,1405,1344,238,45356
2020-03-29,1375,1324,202,50455
2020-03-30,1780,1712,350,56298
2020-03-31,1896,1823,373,59278
2020-04-01,1743,1651,279,60611
2020-04-02,1721,1607,280,59586
2020-04-03,1597,1509,296,49443
2020-04-04,1341,1277,254,35148
2020-04-05,1344,1308,256,39199
2020-04-06,1669,1593,300,45986
2020-04-07,1745,1677,327,43866
2020-04-08,1773,1733,294,51278
2020-04-09,1603,1530,255,41527
2020-04-10,1521,1447,275,41361
2020-04-11,1561,1493,326,43700
2020-04-12,1689,1658,379,46070
2020-04-13,2354,2282,543,72775
2020-04-14,1691,1626,324,50851
2020-04-15,1510,1451,253,49715
2020-04-16,1630,1602,297,48655
2020-04-17,1470,1416,277,41417
2020-04-18,1152,1160,195,33392
2020-04-19,1111,1076,215,31101
2020-04-20,1497,1435,331,40763
2020-04-21,1815,1813,500,50273
2020-04-22,1883,1850,523,49426
2020-04-23,2124,2122,683,52517
2020-04-24,1339,1288,309,35259
2020-04-25,1096,1078,244,27963
2020-04-26,1160,1160,249,30931
2020-04-27,1713,1662,383,46874
2020-04-28,2061,2008,756,47382
2020-04-29,1685,1702,510,45749
2020-04-30,1321,1309,442,30453
2020-05-01,1127,1070,247,33464
2020-05-02,1060,1030,243,32806
2020-05-03,1047,1025,207,29410
2020-05-04,1347,1307,324,34684
2020-05-05,1221,1226,275,32828
2020-05-06,1917,1869,516,46712
2020-05-07,2236,2258,762,51061
2020-05-08,1607,1582,431,40294
2020-05-09,1120,1088,208,31543
2020-05-10,1736,1825,520,54904
2020-05-11,1550,1538,398,44425
2020-05-12,1447,1390,342,46563
2020-05-13,1255,1237,296,34473
2020-05-14,1487,1459,393,43924
2020-05-15,1959,1891,729,60553
2020-05-16,1285,1232,326,35491
2020-05-17,1275,1227,310,37153
2020-05-18,3010,2947,1169,80906
2020-05-19,2935,2855,1058,78090
2020-05-20,2592,2489,712,75752
2020-05-21,2473,2392,626,65216
2020-05-22,2189,2094,498,60298
2020-05-23,1761,1648,315,43654
2020-05-24,2098,2002,350,57426
2020-05-25,2960,2795,705,85770
2020-05-26,2410,2343,673,67481
2020-05-27,1954,1917,533,49122
2020-05-28,1895,1822,620,50110
2020-05-29,1685,1626,435,47321
2020-05-30,1370,1310,366,37766
2020-05-31,1414,1359,384,36745
2020-06-01,3096,3057,870,104384
2020-06-02,2853,2741,699,85997
2020-06-03,2343,2237,511,64026
2020-06-04,2485,2403,596,75353
2020-06-05,1882,1761,352,54683
2020-06-06,1665,1593,346,40387
2020-06-07,1636,1604,344,45803
2020-06-08,2405,2312,472,69993
2020-06-09,2605,2418,476,76345
2020-06-10,2445,2298,466,68440
2020-06-11,2378,2268,453,63529
2020-06-12,1770,1694,344,44660
2020-06-13,1317,1247,292,33178
2020-06-14,1421,1372,277,35045
2020-06-15,2356,2297,510,62705
2020-06-16,2617,2509,612,75753
2020-06-17,2266,2205,458,61875
2020-06-18,2065,1997,481,60152
2020-06-19,2014,2028,541,55738
2020-06-20,1621,1607,336,48171
2020-06-21,1582,1530,283,50831
2020-06-22,3251,3152,779,98749
2020-06-23,2897,2751,516,92656
2020-06-24,2578,2475,503,76109
2020-06-25,2413,2311,464,67215
2020-06-26,2558,2474,474,81182
2020-06-27,1804,1689,332,53332
2020-06-28,1905,1836,378,54868
2020-06-29,2974,2848,546,98397
2020-06-30,2729,2576,476,88129
2020-07-01,2924,2728,608,99440
2020-07-02,2781,2647,582,87311
2020-07-03,2412,2343,507,73757
2020-07-04,1662,1615,311,49138
2020-07-05,1707,1639,299,54594
2020-07-06,2611,2535,527,81330
2020-07-07,2940,2912,628,84445
2020-07-08,3398,3313,731,107627
2020-07-09,2833,2744,572,84108
2020-07-10,2606,2493,551,72665
2020-07-11,1774,1729,308,61681
2020-07-12,1619,1528,255,52679
2020-07-13,3431,3284,811,107344
2020-07-14,3207,3119,817,101572
2020-07-15,2786,2700,576,86167
2020-07-16,2792,2678,569,88498
2020-07-17,2454,2405,528,76286
2020-07-18,2043,1754,330,74534
2020-07-19,1589,1518,301,47833
2020-07-20,2757,2650,536,83880
2020-07-21,2552,2447,523,72389
2020-07-22,2600,2519,603,74495
2020-07-23,2500,2457,531,66795
2020-07-24,2165,2139,457,55962
2020-07-25,1712,1748,397,47784
2020-07-26,2144,2163,530,63167
2020-07-27,4046,4103,1119,118199
2020-07-28,3806,3810,1020,105050
2020-07-29,3267,3183,775,84898
2020-07-30,4158,4280,1234,102554
2020-07-31,5022,5400,1691,155435
2020-08-01,1636,1637,453,35973
2020-08-02,1354,1338,335,30847
2020-08-03,2661,2645,774,74060
2020-08-04,2720,2670,735,75072
2020-08-05,2884,2945,906,74881
2020-08-06,2446,2433,639,60884
2020-08-07,2548,2455,592,74963
2020-08-08,1321,1314,277,35735
2020-08-09,1535,1503,306,38886
2020-08-10,2890,2826,624,74956
2020-08-11,2593,2652,655,67628
2020-08-12,2477,2391,625,65783
2020-08-13,2054,2018,563,42429
2020-08-14,2312,2225,529,57620
2020-08-15,1302,1289,291,30700
2020-08-16,1491,1470,338,35808
2020-08-17,2047,2026,381,57203
2020-08-18,3189,3084,757,83443
2020-08-19,2557,2533,546,63283
2020-08-20,2691,2703,706,67687
2020-08-21,2415,2382,539,57927
2020-08-22,2019,2025,597,43362
2020-08-23,1605,1568,346,33793
2020-08-24,3779,3789,1059,87840
2020-08-25,3282,3237,853,78216
2020-08-26,2672,2642,584,61928
2020-08-27,2629,2593,606,57074
2020-08-28,2364,2312,541,48738
2020-08-29,1937,1945,418,40301
2020-08-30,1953,1937,438,43873
2020-08-31,3205,3240,842,74199
2020-09-01,3746,3858,959,96445
2020-09-02,3607,3633,744,96842
2020-09-03,3996,3979,852,89510
2020-09-04,3592,3710,929,84513
2020-09-05,1887,1900,391,36978
2020-09-06,1897,1828,334,39485
2020-09-07,2942,2858,606,60160
2020-09-08,2552,2503,606,51602
2020-09-09,2698,2649,601,58683
2020-09-10,2452,2435,549,52726
2020-09-11,2196,2145,471,50026
2020-09-12,1617,1596,329,37620
2020-09-13,1858,1804,337,44793
2020-09-14,2907,2814,588,73765
2020-09-15,2662,2550,585,60192
2020-09-16,2605,2546,565,54994
2020-09-17,2268,2254,570,49503
2020-09-18,2037,1973,484,42539
2020-09-19,1439,1411,278,30362
2020-09-20,1485,1488,314,28586
2020-09-21,2204,2155,547,43600
2020-09-22,2360,2284,593,46324
2020-09-23,3180,3200,995,76103
2020-09-24,2423,2372,581,51781
2020-09-25,2086,2048,500,43434
2020-09-26,1495,1463,288,32409
2020-09-27,1444,1402,306,31355
2020-09-28,4080,4017,1165,97762
2020-09-29,3247,3163,760,79330
2020-09-30,1674,1638,345,39526
2020-10-01,1268,1252,228,30269
2020-10-02,1474,1442,272,31416
2020-10-03,1573,1539,290,34846
2020-10-04,1685,1646,359,34965
2020-10-05,3091,3001,747,72422
2020-10-06,2786,2729,624,68864
2020-10-07,3032,2958,763,70950
2020-10-08,2686,2630,564,57482
2020-10-09,2079,1982,330,47100
2020-10-10,1851,1839,391,46237
2020-10-11,1660,1609,333,35417
2020-10-12,2539,2484,601,55777
2020-10-13,2728,2709,717,56528
2020-10-14,2424,2412,595,49935
2020-10-15,2158,2138,563,43586
2020-10-16,2096,2036,475,44606
2020-10-17,1629,1604,466,28201
2020-10-18,2039,2005,616,39111
2020-10-19,2648,2619,664,55625
2020-10-20,3241,3260,1079,86136
2020-10-21,2646,2617,707,65931
2020-10-22,2781,2771,783,63078
2020-10-23,2341,2281,562,53105
2020-10-24,1813,1777,422,37347
2020-10-25,1623,1604,319,38919
2020-10-26,3220,3108,774,79405
2020-10-27,3332,3262,817,77518
2020-10-28,3413,3340,810,87497
2020-10-29,3954,3946,922,107834
2020-10-30,3240,3154,716,90175
2020-10-31,2006,2023,447,51312
2020-11-01,1995,1977,422,47970
2020-11-02,4758,4717,1213,120423
2020-11-03,5418,5304,1524,150888
2020-11-04,4516,4472,1196,112683
2020-11-05,4155,4037,1044,102901
2020-11-06,3663,3576,825,88015
2020-11-07,2472,2417,531,57386
2020-11-08,2492,2420,522,50486
2020-11-09,4364,4340,1143,95408
2020-11-10,4370,4256,1137,99623
2020-11-11,4492,4449,1071,114438
2020-11-12,3998,3899,796,94730
2020-11-13,4130,3967,835,101484
2020-11-14,2690,2620,509,61926
2020-11-15,2717,2643,478,71357
2020-11-16,5200,5079,1124,142311
2020-11-17,3948,3892,944,107879
2020-11-18,3538,3415,839,79713
2020-11-19,3551,3565,919,82799
2020-11-20,3263,3214,886,71272
2020-11-21,2086,2039,578,42653
2020-11-22,1980,1971,497,47533
2020-11-23,3861,3831,900,102656
2020-11-24,4135,4093,1138,101832
2020-11-25,4330,4266,1248,103407
2020-11-26,3628,3511,817,89568
2020-11-27,3283,3212,796,79392
2020-11-28,2425,2348,618,55058
2020-11-29,2310,2206,430,52655
2020-11-30,3597,3524,811,86598
2020-12-01,3636,3487,749,88107
2020-12-02,3384,3174,694,82790
2020-12-03,3202,3100,766,74396
2020-12-04,3189,3068,743,75730
2020-12-05,2055,2019,497,47638
2020-12-06,2119,2077,460,46914
2020-12-07,2979,2988,753,77443
2020-12-08,3033,2990,772,68857
